,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24429,2017-11-19,7.2,1.6,6.2,3.4,77.0,4100.0,25000.0
24430,2017-11-20,8.5,9.9,6.3,0.0,89.0,2500.0,25000.0
24431,2017-11-21,11.9,2.2,6.8,0.0,92.0,2500.0,15000.0
24432,2017-11-22,10.9,2.1,8.3,3.3,80.0,3700.0,32000.0
24433,2017-11-23,10.6,1.2,8.6,1.5,75.0,7000.0,47000.0
24434,2017-11-24,6.7,3.4,2.9,2.3,85.0,11000.0,25000.0
24435,2017-11-25,4.4,0.8,3.8,2.3,81.0,10000.0,32000.0
24436,2017-11-26,6.2,3.2,6.4,1.2,75.0,11000.0,25000.0
24437,2017-11-27,7.6,14.7,7.9,0.0,83.0,6000.0,25000.0
24438,2017-11-28,5.7,7.3,6.1,2.2,81.0,3200.0,25000.0
24439,2017-11-29,3.1,0.7,2.3,2.5,94.0,4600.0,15000.0
24440,2017-11-30,1.9,4.4,2.0,1.1,92.0,5500.0,20000.0
24441,2017-12-01,0.4,0.0,1.8,2.6,95.0,100.0,8000.0
24442,2017-12-02,-0.2,-0.1,3.0,0.2,97.0,200.0,3900.0
24443,2017-12-03,5.3,2.9,3.7,0.3,93.0,1600.0,20000.0
24444,2017-12-04,7.3,1.6,4.1,0.2,87.0,9000.0,16000.0
24445,2017-12-05,8.4,0.0,5.8,0.0,77.0,11000.0,32000.0
24446,2017-12-06,8.6,0.0,7.6,0.0,75.0,15000.0,32000.0
