,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
36,37,1859,2422,0,1693,2414,2232,2146,VRA01_0045,POINT(4.789564 52.490227),POINT(52.490227 4.789564),4.789564,52.490227,POINT (114408.6871863036 500446.9380994056)
37,38,320,312,0,0,309,0,0,VRA01_0047,POINT(4.948419 52.486074),POINT(52.486074 4.948419),4.948419,52.486074,POINT (125195.0907948934 499907.6378341916)
38,39,5293,6413,0,0,0,5898,5786,VRA01_0048,POINT(4.943888 52.507617),POINT(52.507617 4.943888),4.943888,52.507617,POINT (124901.9958226934 502306.5230754883)
39,40,1514,1784,0,0,1302,1592,1429,VRA01_0051,POINT(4.946537 52.511944),POINT(52.511944 4.946537),4.946537,52.511944,POINT (125084.7722788097 502786.8761919442)
40,41,2117,2503,0,0,2107,2324,1968,VRA01_0052,POINT(4.946412 52.511894),POINT(52.511894 4.946412),4.946412,52.511894,POINT (125076.2527195296 502781.3645068588)
41,42,1753,2186,0,0,1963,1835,1960,VRA01_0055,POINT(4.804113 52.247986),POINT(52.247986 4.804113),4.804113,52.247986,POINT (115179.9687048312 473486.5877586281)
42,43,1787,1935,0,0,1806,1586,0,VRA01_0056,POINT(4.778355 52.254663),POINT(52.254663 4.778355),4.778355,52.254663,POINT (113427.1861150973 474243.9216177784)
43,44,3138,3569,0,0,3446,3602,0,VRA01_0057,POINT(4.75117 52.27383),POINT(52.27383 4.75117),4.75117,52.27383,POINT (111589.7030265018 476392.3640087869)
44,45,1385,1434,0,0,1767,1700,1441,VRA01_0058,POINT(4.729711 52.285747),POINT(52.285747 4.729711),4.729711,52.285747,POINT (110137.143385646 477731.308235638)
45,46,0,0,0,0,1033,1160,1022,VRA01_0059,POINT(4.727688 52.28785),POINT(52.28785 4.727688),4.727688,52.28785,POINT (110001.2385277439 477966.5411583273)
46,47,1919,1887,0,0,2149,2335,2263,VRA01_0060,POINT(4.723987 52.288848),POINT(52.288848 4.723987),4.723987,52.288848,POINT (109749.7399612578 478079.8817372995)
47,48,0,0,778,0,1212,1245,1234,VRA01_0062,POINT(4.759285 52.320232),POINT(52.320232 4.759285),4.759285,52.320232,POINT (112188.2668871097 481550.2373394729)
48,49,792,894,423,541,1091,849,875,VRA01_0064,POINT(4.784229 52.328836),POINT(52.328836 4.784229),4.784229,52.328836,POINT (113896.8918549324 482493.0894899867)
49,50,718,719,0,432,651,560,0,VRA01_0067,POINT(4.688053 52.37062),POINT(52.37062 4.688053),4.688053,52.37062,POINT (107385.826350576 487200.8927670863)
50,51,2188,2744,0,1953,2744,2695,0,VRA01_0068,POINT(4.64682 52.33026),POINT(52.33026 4.64682),4.64682,52.33026,POINT (104531.9344991211 482738.318118588)
51,52,343,412,0,0,754,0,60,VRA01_0070,POINT(4.890289 52.484786),POINT(52.484786 4.890289),4.890289,52.484786,POINT (121245.6166520338 499789.8367799013)
52,53,0,0,0,0,2240,2610,0,VRA01_0072,POINT(5.169485 52.357303),POINT(52.357303 5.169485),5.169485,52.357303,POINT (140168.1074309995 485511.7937953874)
53,54,0,0,0,0,3156,3180,0,VRA01_0073,POINT(5.21392 52.374019),POINT(52.374019 5.21392),5.21392,52.374019,POINT (143199.6340669773 487363.5301991128)
54,55,0,0,0,0,4114,3955,0,VRA01_0074,POINT(5.261798 52.381475),POINT(52.381475 5.261798),5.261798,52.381475,POINT (146461.4754844222 488186.4074271134)
55,56,5091,5327,5403,0,5103,4668,4116,VRA01_0075,POINT(4.850711 52.30803),POINT(52.30803 4.850711),4.850711,52.30803,POINT (118411.5889708897 480142.5636345588)
56,57,832,915,823,0,1219,1203,0,VRA01_0076,POINT(4.838 52.30468),POINT(52.30468 4.838),4.838,52.30468,POINT (117541.8966656865 479776.329363044)
57,58,791,864,816,0,786,0,0,VRA01_0077,POINT(4.851744 52.30056),POINT(52.30056 4.851744),4.851744,52.30056,POINT (118475.8997345869 479310.9213214846)
58,59,5783,5667,2748,0,2631,5412,4827,VRA01_0080,POINT(4.899675 52.298858),POINT(52.298858 4.899675),4.899675,52.298858,POINT (121743.9970123495 479098.4903617888)
59,60,1463,1546,931,804,530,1872,0,VRA01_0081,POINT(4.92007 52.30387),POINT(52.30387 4.92007),4.92007,52.30387,POINT (123138.7877596638 479646.9755443513)
60,61,997,1037,736,0,2319,1089,0,VRA01_0082,POINT(4.920367 52.30367),POINT(52.30367 4.920367),4.920367,52.30367,POINT (123158.9013887191 479624.5927293235)
61,62,935,966,856,0,916,878,765,VRA01_0083,POINT(4.945969 52.293325),POINT(52.293325 4.945969),4.945969,52.293325,POINT (124898.0925131531 478462.6548568154)
62,63,1565,1691,0,0,1731,0,0,VRA01_0084,POINT(4.634073 52.279506),POINT(52.279506 4.634073),4.634073,52.279506,POINT (103604.3967972061 477100.4211340169)
63,64,236,231,0,0,256,0,0,VRA01_0085,POINT(4.610413 52.262949),POINT(52.262949 4.610413),4.610413,52.262949,POINT (101970.085665797 475275.3531238551)
64,65,1911,1712,0,0,1749,0,0,VRA01_0086,POINT(4.57256 52.254876),POINT(52.254876 4.57256),4.57256,52.254876,POINT (99375.92329621012 474405.5270559154)
65,66,1081,1482,0,0,990,968,803,VRA01_0087,POINT(4.82485 52.41278),POINT(52.41278 4.82485),4.82485,52.41278,POINT (116738.3464833045 491810.6509489465)
